SORT,File,Accession Number,Title,Contact Information,Creator,Contributors,Subject,Credit,Description,Notes,Publisher,Date,Type,Format,Extent,Medium,Identifier,Source,Source URL,Language,Relation,Coverage-Spatial,Coverage-Temporal,Rights
146,1984.189.146.jp2,1984.189.146,Girl with a fishing pole,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216913,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
147,1984.189.147.jp2,1984.189.147,Girl with moss in her hair,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216914,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
148,1984.189.148.jp2,1984.189.148,Rural scene showing girl with an umbrella,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216916,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
149,1984.189.149.jp2,1984.189.149,Tree lined country road,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216917,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
150,1984.189.150.jp2,1984.189.150,Bayou girl,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216918,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
151,1984.189.151.jp2,1984.189.151,Young couple at home,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216919,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
152,1984.189.152.jp2,1984.189.152,Young couple outside home,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216920,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
153,1984.189.153.jp2,1984.189.153,Girl by picket fence,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216921,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
154,1984.189.154.jp2,1984.189.154,Country road,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216922,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
155,1984.189.155.jp2,1984.189.155,Girls by a bayou,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216923,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
156,1984.189.156.jp2,1984.189.156,Farm girls,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216924,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
157,1984.189.157.jp2,1984.189.157,Girls waving,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216925,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
158,1984.189.158.jp2,1984.189.158,Girls with a beach ball,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives group portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216926,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
159,1984.189.159.jp2,1984.189.159,Girls with a beach ball,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives group portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216927,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
160,1984.189.160.jp2,1984.189.160,Girls on a country road,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216928,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
161,1984.189.161.jp2,1984.189.161,Two boys on a country road,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216929,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
162,1984.189.162.jp2,1984.189.162,Rustic barn,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216930,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
163,1984.189.163.jp2,1984.189.163,Girls picking flowers,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216931,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
164,1984.189.164.jp2,1984.189.164,Girl reclining in the woods,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216932,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
165,1984.189.165.jp2,1984.189.165,Two bare trees,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216933,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
166,1984.189.166.jp2,1984.189.166,Girl on stepping stones,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216934,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
167,1984.189.167.jp2,1984.189.167,Two girls on a farm,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216935,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
168,1984.189.168.jp2,1984.189.168,Girl with an urn and a century plant,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216936,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
169,1984.189.169.jp2,1984.189.169,Girl wrapped in lace next to an urn and a century plant,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216937,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
170,1984.189.170.jp2,1984.189.170,Two girls and a bucket,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216944,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
171,1984.189.171.jp2,1984.189.171,Girl and a wagon wheel,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216946,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
172,1984.189.172.jp2,1984.189.172,Girl in the woods with an umbrella,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216948,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
173,1984.189.173.jp2,1984.189.173,Lady reading,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216949,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
174,1984.189.174.jp2,1984.189.174,Wooded landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216950,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
175,1984.189.175.jp2,1984.189.175,wooded landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216951,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
176,1984.189.176.jp2,1984.189.176,Wooded landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives landscapes (representations),,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216952,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
177,1984.189.177.jp2,1984.189.177,Lantern by a rustic building,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216953,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
178,1984.189.178.jp2,1984.189.178,Bayou scene,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216954,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
179,1984.189.179.jp2,1984.189.179,Small boy in the woods,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216955,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
180,1984.189.180.jp2,1984.189.180,Three women,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives group portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216956,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
181,1984.189.181.jp2,1984.189.181,Women fishing,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216957,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
182,1984.189.182.jp2,1984.189.182,Women going fishing,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216958,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
183,1984.189.183.jp2,1984.189.183,Wooded landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216959,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
184,1984.189.184.jp2,1984.189.184,Wooded landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216960,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
185,1984.189.185.jp2,1984.189.185,Women fishing,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216961,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
186,1984.189.186.jp2,1984.189.186,Bayou landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216962,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
187,1984.189.187.jp2,1984.189.187,Bayou landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216963,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
188,1984.189.188.jp2,1984.189.188,Wooded landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216964,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
189,1984.189.189.jp2,1984.189.189,Rural landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic  landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216965,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
190,1984.189.190.jp2,1984.189.190,Cane field,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216966,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
191,1984.189.191.jp2,1984.189.191,Cart in a barn,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216967,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
192,1984.189.192.jp2,1984.189.192,Wooded landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/216968,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
193,1984.189.193.jp2,1984.189.193,Country road,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217184,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
194,1984.189.194.jp2,1984.189.194,Bayou scene,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217185,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
195,1984.189.195.jp2,1984.189.195,Houseboat in a bayou,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217186,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
196,1984.189.196.jp2,1984.189.196,Mossy swamp scene,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217187,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
197,1984.189.197.jp2,1984.189.197,Bayou scene,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217188,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
198,1984.189.198.jp2,1984.189.198,Cabin in the woods,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives," x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217189,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
199,1984.189.199.jp2,1984.189.199,Nun,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217190,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
200,1984.189.200.jp2,1984.189.200,Entrance to the Institute of Learning,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,a lot of flaking emulsion,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217198,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
201,1984.189.201.jp2,1984.189.201,Entrance to the Institute of Learning,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217199,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
202,1984.189.202.jp2,1984.189.202,Entrance to the Institute of Learning,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217200,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
203,1984.189.203.jp2,1984.189.203,Loyola,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photographic landscape; Photography,The Historic New Orleans Collection,View of the main building of the University on St. Charles Avenue.,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/217202,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
