Identifier	Child 	Directory	File Name	Title	Name (Creator)	Name (Contributor)	Publisher	Date Created	Date Captured	Subject (Topic)	Subject (Name)	Subject (Geographic)	Subject (Temporal)	Description	Content Note	Type of Resource	Genre	Internet Media Type	Extent	Language	Source	Digital Collection	Relation	Repository Collection Guide	Location (OCLC Member Symbol)	Location (Physical Location)	Location (Institution Web Site)	Location (Department)	Rights	Contact Information	Preferred Citation	Item Number	Record Creation Date	Record Change Date	Cataloged By	Digitized By	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)
72			3225072_Pine tree Inn and Pond.jpg	Pine tree Inn and Pond	Great Southern Lumber Company			1924-1938	11/19/2015	"Pine Tree Inn (Bogalusa, La.).; Hotels--Louisiana--Bogalusa"		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225072	1988-11	2016-05	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2094x1454	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	573 KB	Epson 10000XL/Epson Scan
73			3225073_Back of Colonial Hotel.jpg	Back of Colonial Hotel	Great Southern Lumber Company			1924-1938	11/19/2015	"Colonial Hotel (Bogalusa, La.).; Hotels--Louisiana--Bogalusa"		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225073	1988-11	2016-05	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2091x1440	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	356 KB	Epson 10000XL/Epson Scan
74			"3225074_Home of W.H. Sullivan, Vice President and General Manager.jpg"	"Home of W.H. Sullivan, Vice President and General Manager"	Great Southern Lumber Company			1924-1938	11/19/2015	"Housing--Louisiana--Bogalusa.; Sullivan, William H. (William Henry), d. 1929"		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225074	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2094x1454	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	532 KB	Epson 10000XL/Epson Scan
75			"3225075_Great Southern Lumber company Offices (L), Commissary (R) with Park Across the Street from Commissary.jpg"	"Great Southern Lumber company Offices (L), Commissary (R) with Park Across the Street from Commissary"	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Offices--Louisiana--Bogalusa.; Employees' buildings and facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225075	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2100x1445	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	564 KB	Epson 10000XL/Epson Scan
76			3225076_Commissary (R) with Carpenter Shop at Angle to Commissary on Right.jpg	Commissary (R) with Carpenter Shop at Angle to Commissary on Right	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Offices--Louisiana--Bogalusa.; Employees' buildings and facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225076	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2088x1436	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	490 KB	Epson 10000XL/Epson Scan
77			3225077_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225077	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2093x1446	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	479 KB	Epson 10000XL/Epson Scan
78			3225078_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225078	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2089x1440	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	534 KB	Epson 10000XL/Epson Scan
79			3225079_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225079	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2087x1440	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	546 KB	Epson 10000XL/Epson Scan
80			3225080A_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225080A	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2097x1446	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	556 KB	Epson 10000XL/Epson Scan
81			3225080B_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225080B	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2099x1446	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	562 KB	Epson 10000XL/Epson Scan
82			3225081_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225081	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2109x1444	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	536 KB	Epson 10000XL/Epson Scan
83			3225082_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225082	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2081x1448	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	537 KB	Epson 10000XL/Epson Scan
84			3225083_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225083	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2084x1441	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	594 KB	Epson 10000XL/Epson Scan
85			3225084_Great Southern Lumber Company.jpg	Great Southern Lumber Company	Great Southern Lumber Company			1924-1938	11/19/2015	Great Southern Lumber Company.; Lumber-yards--Louisiana--Bogalusa.; Storage facilities--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225084	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2078x1454	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	600 KB	Epson 10000XL/Epson Scan
86			3225085_View of Sawmill.jpg	View of Sawmill	Great Southern Lumber Company			1924-1938	11/19/2015	Sawmills--Louisiana--Bogalusa.; Great Southern Lumber Company		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225085	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2079x1446	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	506 KB	Epson 10000XL/Epson Scan
